Positive,Negative,Neutral,Compound,Sentiment_Label
0.021,0.306,0.672,0.9817,Positive
0.0,0.0,1.0,0.0,Neutral
0.036,0.014,0.95,-0.4003,Negative
0.0,0.195,0.805,0.7579,Positive
0.067,0.036,0.897,-0.5647,Negative
0.0,0.244,0.756,0.4404,Positive
0.321,0.142,0.537,-0.9902,Negative
0.074,0.151,0.775,0.9824,Positive
0.037,0.349,0.614,0.9045,Positive
0.144,0.109,0.747,-0.1522,Negative
0.0,0.0,1.0,0.0,Neutral
0.243,0.081,0.676,-0.9911,Negative
0.063,0.097,0.84,0.2544,Positive
0.091,0.161,0.748,0.8261,Positive
0.159,0.205,0.636,0.435,Positive
0.0,0.18,0.82,0.8151,Positive
0.256,0.1,0.644,-0.9296,Negative
0.275,0.198,0.526,-0.4404,Negative
0.125,0.117,0.758,-0.1621,Negative
0.163,0.044,0.792,-0.9754,Negative
0.022,0.198,0.78,0.9293,Positive
0.146,0.136,0.718,0.1763,Positive
0.0,0.231,0.769,0.743,Positive
0.09,0.176,0.734,0.976,Positive
0.029,0.272,0.699,0.999,Positive
0.191,0.131,0.677,-0.1935,Negative
0.079,0.208,0.713,0.9898,Positive
0.03,0.114,0.856,0.9921,Positive
0.044,0.023,0.932,-0.5859,Negative
0.09,0.062,0.849,-0.744,Negative
0.161,0.112,0.727,-0.8095,Negative
0.047,0.083,0.87,0.723,Positive
0.236,0.264,0.5,0.1531,Positive
0.032,0.115,0.853,0.6133,Positive
0.077,0.114,0.809,0.7263,Positive
0.16,0.073,0.767,-0.8917,Negative
0.169,0.051,0.78,-0.5787,Negative
0.0,0.198,0.802,0.9627,Positive
0.137,0.056,0.807,-0.7709,Negative
0.059,0.12,0.821,0.6204,Positive
0.173,0.114,0.713,-0.604,Negative
0.0,0.239,0.761,0.9115,Positive
0.186,0.0,0.814,-0.4939,Negative
0.0,0.172,0.828,0.7964,Positive
0.0,0.0,1.0,0.0,Neutral
0.188,0.088,0.724,-0.927,Negative
0.013,0.009,0.978,-0.1406,Negative
0.252,0.151,0.597,-0.8506,Negative
0.0,0.031,0.969,0.1406,Positive
0.099,0.154,0.747,0.2682,Positive
0.026,0.192,0.782,0.8853,Positive
0.0,0.169,0.831,0.9528,Positive
0.04,0.244,0.717,0.8605,Positive
0.313,0.0,0.687,-0.9284,Negative
0.149,0.139,0.712,-0.3811,Negative
0.168,0.083,0.749,-0.9435,Negative
0.074,0.053,0.873,-0.0852,Negative
0.0,0.096,0.904,0.1511,Positive
0.067,0.023,0.91,-0.6061,Negative
0.059,0.111,0.83,0.9349,Positive
0.092,0.029,0.879,-0.9907,Negative
0.042,0.233,0.726,0.9905,Positive
0.067,0.107,0.826,0.9535,Positive
0.327,0.196,0.477,-0.6588,Negative
0.213,0.09,0.697,-0.9951,Negative
0.381,0.0,0.619,-0.5719,Negative
0.022,0.111,0.868,0.7891,Positive
0.076,0.059,0.864,-0.2493,Negative
0.06,0.101,0.839,0.9319,Positive
0.139,0.16,0.702,0.3612,Positive
0.104,0.129,0.767,0.0617,Positive
0.079,0.109,0.812,0.5829,Positive
0.0,0.271,0.729,0.9476,Positive
0.091,0.18,0.729,0.4749,Positive
0.024,0.242,0.734,0.9668,Positive
0.126,0.204,0.671,0.851,Positive
0.019,0.18,0.801,0.9199,Positive
0.151,0.0,0.849,-0.1531,Negative
0.047,0.161,0.792,0.9678,Positive
0.139,0.126,0.735,-0.0305,Neutral
0.066,0.094,0.839,0.6656,Positive
0.109,0.0,0.891,-0.0572,Negative
0.04,0.325,0.635,0.9781,Positive
0.107,0.0,0.893,-0.2023,Negative
0.0,0.21,0.79,0.6114,Positive
0.044,0.106,0.85,0.715,Positive
0.135,0.09,0.774,-0.5913,Negative
0.0,0.0,1.0,0.0,Neutral
0.032,0.175,0.792,0.875,Positive
0.032,0.154,0.814,0.9641,Positive
0.0,0.158,0.842,0.7345,Positive
0.314,0.261,0.425,-0.1585,Negative
0.04,0.124,0.836,0.8381,Positive
0.095,0.03,0.876,-0.6463,Negative
0.094,0.191,0.715,0.9995,Positive
0.108,0.069,0.823,-0.7251,Negative
0.0,0.236,0.764,0.982,Positive
0.032,0.131,0.837,0.9306,Positive
0.052,0.076,0.871,0.2718,Positive
0.049,0.205,0.746,0.8707,Positive
0.102,0.105,0.793,0.4037,Positive
0.0,0.323,0.677,0.8225,Positive
0.215,0.049,0.736,-0.8442,Negative
0.0,0.0,1.0,0.0,Neutral
0.138,0.101,0.761,-0.6432,Negative
0.122,0.059,0.819,-0.7003,Negative
0.104,0.043,0.852,-0.6016,Negative
0.042,0.154,0.804,0.8585,Positive
0.269,0.0,0.731,-0.7184,Negative
0.172,0.183,0.645,-0.1406,Negative
0.149,0.075,0.776,-0.5107,Negative
0.153,0.158,0.689,0.5896,Positive
0.113,0.159,0.728,0.4588,Positive
0.0,0.429,0.571,0.7184,Positive
0.22,0.046,0.734,-0.9382,Negative
0.048,0.225,0.727,0.8406,Positive
0.0,0.14,0.86,0.9252,Positive
0.07,0.047,0.883,-0.4898,Negative
0.205,0.051,0.745,-0.7783,Negative
0.097,0.079,0.824,-0.7991,Negative
0.0,0.088,0.912,0.5927,Positive
0.27,0.073,0.657,-0.9448,Negative
0.097,0.089,0.814,-0.3062,Negative
0.0,0.033,0.967,0.1154,Positive
0.056,0.193,0.751,0.8752,Positive
0.175,0.063,0.762,-0.9667,Negative
0.023,0.264,0.714,0.9798,Positive
0.099,0.113,0.788,-0.514,Negative
0.043,0.155,0.802,0.6908,Positive
0.207,0.125,0.668,-0.8872,Negative
0.0,0.0,1.0,0.0,Neutral
0.171,0.26,0.569,0.6124,Positive
0.012,0.16,0.828,0.9559,Positive
0.0,0.303,0.697,0.9862,Positive
0.124,0.158,0.718,0.8156,Positive
0.082,0.093,0.825,0.0724,Positive
0.0,0.346,0.654,0.5719,Positive
0.11,0.082,0.808,-0.9712,Negative
0.0,0.0,1.0,0.0,Neutral
0.055,0.086,0.859,0.466,Positive
0.214,0.113,0.673,-0.8827,Negative
0.167,0.111,0.722,-0.2516,Negative
0.167,0.102,0.732,-0.3818,Negative
0.018,0.188,0.794,0.9686,Positive
0.11,0.13,0.761,0.5985,Positive
0.047,0.074,0.878,0.4377,Positive
0.108,0.057,0.835,-0.562,Negative
0.306,0.0,0.694,-0.9042,Negative
0.059,0.187,0.754,0.7882,Positive
0.089,0.154,0.757,0.9848,Positive
0.432,0.0,0.568,-0.5859,Negative
0.046,0.214,0.739,0.9711,Positive
0.115,0.1,0.785,-0.4754,Negative
0.014,0.17,0.817,0.9601,Positive
0.142,0.054,0.803,-0.8442,Negative
0.162,0.078,0.76,-0.928,Negative
0.22,0.0,0.78,-0.6416,Negative
0.122,0.042,0.836,-0.4939,Negative
0.211,0.13,0.659,-0.5562,Negative
0.0,0.193,0.807,0.6705,Positive
0.212,0.0,0.788,-0.6261,Negative
0.0,0.181,0.819,0.8074,Positive
0.246,0.0,0.754,-0.8779,Negative
0.0,0.487,0.513,0.886,Positive
0.0,0.196,0.804,0.8989,Positive
0.018,0.199,0.783,0.9515,Positive
0.073,0.023,0.904,-0.2756,Negative
0.06,0.148,0.792,0.9317,Positive
0.037,0.055,0.908,0.2144,Positive
0.025,0.17,0.805,0.9428,Positive
0.127,0.135,0.738,-0.2396,Negative
0.066,0.12,0.814,0.7332,Positive
0.058,0.249,0.693,0.8807,Positive
0.168,0.054,0.778,-0.985,Negative
0.167,0.187,0.646,0.3818,Positive
0.063,0.0,0.937,-0.3612,Negative
0.0,0.129,0.871,0.4588,Positive
0.148,0.236,0.615,0.1446,Positive
0.077,0.2,0.723,0.5512,Positive
0.085,0.102,0.813,0.4614,Positive
0.0,0.36,0.64,0.5432,Positive
0.028,0.048,0.924,0.25,Positive
0.098,0.19,0.712,0.3818,Positive
0.022,0.227,0.751,0.9716,Positive
0.075,0.078,0.847,-0.2073,Negative
0.031,0.062,0.907,0.2387,Positive
0.055,0.027,0.918,-0.5143,Negative
0.205,0.194,0.601,-0.3011,Negative
0.391,0.223,0.386,-0.468,Negative
0.0,0.214,0.786,0.5994,Positive
0.089,0.169,0.742,0.8621,Positive
0.054,0.071,0.874,0.3234,Positive
0.0,0.0,1.0,0.0,Neutral
0.025,0.068,0.906,0.4678,Positive
